ID,Section,Question,Deobandi View,Barelwi View,Deobandi References & Links,Barelwi References & Links
12,Seeking Help and Intercession,Is calling upon saints for assistance permissible?,Calling saints (direct calling) is not appropriate,Calling saints (intermediary) as intercessors is permissible,"“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी को न पुकारो”
(Surah Al-Jinn 72:18)
 https://quran.com/72/18
Fatawa Rashidiyya – Rashid Ahmad Gangohi
 https://archive.org/details/FatawaRashidiyya","“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो”
(Surah Al-Ma’idah 5:35)
 https://quran.com/5/35
Hadith of the Blind Man (Tawassul):
(Jami‘ al-Tirmidhi 3578)
 https://sunnah.com/tirmidhi:3578
(इसमें नबी के वसीले से दुआ करने का तरीका सिखाया गया)"
13,Seeking Help and Intercession,What is the ruling on saying “Ya Rasul Allah” with the intention of seeking help?,Saying 'O Messenger of Allah' is not appropriate if it is for help,Saying 'O Messenger of Allah' is also permissible as Istighasa (seeking help),"Qur’an: Surah Al-Fatiha 1:5
Fatawa Deoband","Hadith: Ibn Umar calling “Ya Muhammadah” (reported in Adab al-Mufrad)
Fatawa Razawiyya, Vol. 15"
14,Seeking Help and Intercession,Is it permissible to call upon “Ya Ghaus-e-Azam” (Abdul Qadir Gilani) for help?,Calling upon any saint is not appropriate,"It is permissible to say ""Ya Ghaus-e-Azam"" if he is considered a means (wasila)","Qur’an: Surah Fatir 35:14
Fatawa Rashidiyya","Sufi tradition texts
Bahaar-e-Shariat
Fatawa Razawiyya"
15,Seeking Help and Intercession,Is Tawassul (using the deceased as a means to reach Allah) through saints allowed?,Tawassul can only be done through a living person or good deeds,Tawassul is permissible through Awliya (living or dead),"Hadith: Three men in cave (Sahih Bukhari 2272)
Fatawa Deoband","Hadith: Blind man (Tirmidhi 3578)
Qur’an: Surah Al-Ma’idah 5:35
Fatawa Razawiyya, Vol. 12"
16,Mawlid & Devotional Gatherings,Is celebrating Mawlid (Milad-un-Nabi) a rewardable act or an innovation?,Mawlid is considered Bid‘ah (innovation),Mawlid is considered Mustahabb (act of reward),"Hadith: “जो हमारे दीन में नई चीज़ निकाले…”
(Sahih Bukhari 2697, Sahih Muslim 1718)
Fatawa Deoband, Vol. 1
Imdad al-Fatawa – Ashraf Ali Thanvi","Qur’an: “अल्लाह के फ़ज़्ल और रहमत पर खुश हो”
(Surah Yunus 10:58)
Hadith: Prophet fasted on Monday (Muslim 1162 – birth day reference)
Fatawa Razawiyya, Vol. 23"
17,Mawlid & Devotional Gatherings,Is standing (Qiyam) during Mawlid or Salam permissible?,Standing is considered unnecessary and an innovation,They consider standing as a symbol of respect and reverence,"Fatawa Mahmoodiyya, Vol. 5
Bid‘ah related hadith (Muslim 1718)","Hadith: Standing for respect (Abu Dawood 5215)
Fatawa Razawiyya, Vol. 23"
18,Mawlid & Devotional Gatherings,Is the belief that the Prophet ﷺ actually attends a Milad gathering valid?,This belief is not correct,The Prophet can be present spiritually,"Qur’an: Surah Az-Zumar 39:30
Fatawa Deoband","Hadith: Salam presented (Abu Dawood 2041)
Fatawa Razawiyya"
19,Mawlid & Devotional Gatherings,Is organizing Milad processions in public streets allowed?,The public procession is considered a cause of Bid'ah and Fitna,The Milad procession is permissible and a work of Sawaab,"Fatawa Deoband
Principle: Avoid innovation","Qur’an: 10:58 (खुशी मनाना)
Fatawa Razawiyya"
20,Mawlid & Devotional Gatherings,Is reciting Salat-o-Salam aloud in a group after Jumu’ah prayers permissible?,"Regularly, loud collective recitation is considered Bid‘ah",This is permissible and a preferred act,Fatawa Mahmoodiyya,"Qur’an: “नबी पर दरूद भेजो”
(Surah Al-Ahzab 33:56)
Fatawa Razawiyya"
21,Mawlid & Devotional Gatherings,Is public recitation of Na‘at in a standing posture required or recommended?,It is not necessary to stand while reciting Naat,,Fatawa Deoband,Fatawa Razawiyya
22,Mawlid & Devotional Gatherings,Is writing and reciting religious poetry that attributes extraordinary qualities to the Prophet allowed?,One should avoid exaggeration,Describing high qualities in praise is legitimate,"Hadith: “मेरी तारीफ़ में हद से न बढ़ो…”
(Sahih Bukhari 3445)
Fatawa Deoband","Imam Busiri, Qaseeda Burda
Fatawa Razawiyya"
23,Mawlid & Devotional Gatherings,Is using musical instruments (like the daf) in religious gatherings permissible?,Musical instruments are generally unlawful,"In some circumstances, permission for Daf is allowed","Sahih Bukhari (Hadith on musical instruments – 5590)
Fatawa Deoband","Hadith: Daf allowed in Eid/weddings (Abu Dawood 4924)
Fatawa Razawiyya"
24,Mawlid & Devotional Gatherings,Is it permissible to decorate mosques with lights for religious festivals?,"Decorating mosques (lights, etc.) is inappropriate / Bid'ah",Decoration is permissible in religious happiness,"Fatawa Deoband
Principle: Simplicity of mosques","Qur’an: 10:58
Fatawa Razawiyya"
25,"Graves, Shrines & Urs",Is visiting the graves of saints specifically to seek blessings (Tabarruk) allowed?,It is not appropriate to go with the intention of seeking blessings,taking Tabarruk from the Awliya's grave is permissible,"Hadith: “मैंने तुम्हें कब्रों की ज़ियारत से रोका था, अब ज़ियारत करो…”
(Sahih Muslim 977)
Fatawa Deoband, Vol. 2","Qur’an: Surah Yusuf 12:93 (याक़ूब को क़मीज़ से बरकत)
Fatawa Razawiyya, Vol. 9"
26,"Graves, Shrines & Urs",Is it recommended to travel long distances specifically to visit a saint's grave?,Especially traveling for the grave is not correct,Travel for the Ziyarat of Awliya is permissible,"Hadith: “तीन मस्जिदों के अलावा कहीं सफर न करो…”
(Sahih Bukhari 1189, Muslim 1397)
Fatawa Mahmoodiyya","Practice of early Sufis
Fatawa Razawiyya"
27,"Graves, Shrines & Urs","Is constructing a permanent, cemented grave (pakki qabr) or decorating it allowed?",Building and decorating a fixed grave is illegal / makruh,Making the grave of Awliya permanent is permissible,"Hadith: “नबी ﷺ ने कब्रों को पक्का करने से मना किया”
(Sahih Muslim 970)
Fatawa Deoband","Fatawa Razawiyya, Vol. 9
Sufi practices"
28,"Graves, Shrines & Urs",Is building a dome (gumbad) or large structure over a grave permissible?,It is not right to build a dome,It is permissible to build a dome on the graves of Awliya,"Hadith: Muslim 970
Fatawa Deoband","Historical Islamic architecture
Fatawa Razawiyya"
29,"Graves, Shrines & Urs",Is it valid to build a mosque right next to or over a grave?,Building a mosque near the grave is prohibited,"If the purpose of worship is not the grave, then it is allowed","Hadith: “यहूद और नसारा पर लानत… उन्होंने अपने नबियों की कब्रों को मस्जिद बना लिया”
(Sahih Bukhari 435, Muslim 531)
Fatawa Deoband","Interpretation of hadith
Fatawa Razawiyya"
30,"Graves, Shrines & Urs",Is placing a chadar (cloth covering) on a grave permissible?,Wearing a sheet is a bid'at,Wearing a sheet is respect and honor,Fatawa Deoband,"Bahaar-e-Shariat
Fatawa Razawiyya"
31,"Graves, Shrines & Urs",Is kissing or touching a grave for blessings allowed?,Touching/kissing the grave is prohibited,Touching/kissing for blessings is permissible,Fatawa Mahmoodiyya,"Analogy with Hajr-e-Aswad
Fatawa Razawiyya"
32,"Graves, Shrines & Urs",Is it okay to make sajdah (prostration) near a grave if it isn't intended as worship?,Sajdah is prohibited in every situation near the grave,"Sajdah is only for Allah, prostration on the grave is prohibited","Qur’an: Surah Al-Jinn 72:18
Fatawa Deoband","Consensus (Ijma‘)
Fatawa Razawiyya"
33,"Graves, Shrines & Urs",Is lighting lamps or candles at gravesites allowed?,Lighting lamps on graves is illegal,It is allowed in some circumstances,"Hadith: “कब्रों पर चिराग जलाने वालों पर लानत”
(Tirmidhi 320)
Fatawa Deoband","Fatawa Razawiyya
Cultural practices"
34,"Graves, Shrines & Urs",Is tying threads or making vows (mannat) at shrines valid?,"Tying a thread, making a vow is illegal / there is a danger of Shirk","Vow for Allah, but through the intercession of Awliya","Qur’an: Surah Al-Insan 76:7 (vows to Allah)
Fatawa Deoband",Fatawa Razawiyya
35,"Graves, Shrines & Urs",What is the ruling on Urs (death anniversary) celebrations at shrines?,Urs is considered Bid'ah,Urs is considered a reward and a commemoration,"Hadith: Bid‘ah (Muslim 1718)
Fatawa Deoband","Sufi tradition
Bahaar-e-Shariat
Fatawa Razawiyya"
36,Ritual Practices & Acts of Worship,"Is distributing food for the deceased on specific days (3rd, 10th, 40th) permissible?","Distributing food specially on the 3rd, 10th, and 40th day is Bid'ah",It is permissible if done for Isal-e-Sawab (reward transfer),"Hadith: “जो हमारे दीन में नई चीज़ निकाले…”
(Sahih Bukhari 2697, Muslim 1718)
Fatawa Deoband, Vol. 1","Hadith: Sadqa benefits deceased (Sahih Bukhari 1388)
Fatawa Razawiyya, Vol. 9"
37,Ritual Practices & Acts of Worship,Is the practice of Giyarvi Sharif allowed?,Treating the 11th Volume as special is Bid'ah,The 11th Volume (In the memory of Abdul Qadir Gilani) is permissible,"Fatawa Mahmoodiyya
Bid‘ah hadith (Muslim 1718)","Bahaar-e-Shariat
Fatawa Razawiyya"
38,Ritual Practices & Acts of Worship,Is making Niyaz (offering) in the name of saints valid?,It is not appropriate to make vows in the names of saints,"Vows are for Allah, but making vows in the names of Awliya is an act of charity for the deceased","Qur’an: “नमाज़ और क़ुर्बानी केवल अल्लाह के लिए”
(Surah Al-An‘am 6:162)
Fatawa Deoband","Hadith: Charity for deceased (Bukhari 1388)
Fatawa Razawiyya"
39,Ritual Practices & Acts of Worship,"Is collective, loud Dua after the five daily prayers permissible?",Making the collective loud prayer regular after every prayer is Bid‘ah,Performing collective prayer is permissible and preferred,Fatawa Mahmoodiyya,"Qur’an: “मुझसे दुआ करो, मैं स्वीकार करूँगा”
(Surah Ghafir 40:60)
Fatawa Razawiyya"
40,Ritual Practices & Acts of Worship,Is making a structured collective Dua before breaking fast in Ramadan allowed?,Making individual supplication is Sunnah,Collective supplication is also permissible,"Hadith: Dua at iftar accepted (Tirmidhi 2526)
Fatawa Deoband","Same Hadith (Tirmidhi)
Fatawa Razawiyya"
41,Ritual Practices & Acts of Worship,Is using loud Dhikr in gatherings or forming Dhikr circles permissible?,"loud Dhikr is permitted in a limited manner, but disliked in the prevalent manner",loud Dhikr and Mehfil-e-Zikr are permissible,"Hadith: Silent dhikr preferred (Bukhari 6408)
Fatawa Deoband","Hadith: جماعة में zikr (Muslim 2700)
Fatawa Razawiyya"
42,Ritual Practices & Acts of Worship,Is loud collective Dhikr after every obligatory prayer allowed?,Making loud collective dhikr after every prayer a regular rule is Bid‘ah,Loud dhikr is legitimate,Fatawa Mahmoodiyya,"Hadith: Sahaba raised voices in dhikr (Bukhari 841)
Fatawa Razawiyya"
43,Ritual Practices & Acts of Worship,Is the ceremony of Khatm-e-Bukhari a valid religious practice?,"It is not a religious compulsion, but is accepted as a scholarly tradition",They also consider it permissible,"Madrasah tradition
Fatawa Deoband",Fatawa Razawiyya
44,Ritual Practices & Acts of Worship,Is collective recitation of Dalail al-Khayrat or Qaseeda Burda in gatherings allowed?,Deobandis consider regular collective recitation to be Bid‘ah,"This is a manifestation of the love of the Prophet ﷺ, which is legitimate",Fatawa Deoband,"Dalail al-Khayrat – Imam al-Jazuli
Qaseeda Burda – Imam Busiri
Fatawa Razawiyya"
45,Ritual Practices & Acts of Worship,Is celebrating specific Islamic dates with special rituals (not found in Sunnah) permissible?,Celebrating special dates with religious rituals is Bid'ah,"If it is within the limits of Sharia, then it is permissible","Hadith: Bid‘ah (Muslim 1718)
Fatawa Deoband","Qur’an: 10:58
Fatawa Razawiyya"
46,Women’s Religious Participation,Is it permissible for women to participate in public Milad processions?,Women participating in public processions is not appropriate (fear of Fitna),Limited permission with veil and Sharia conditions,"Qur’an: “और अपने घरों में ठहरी रहो…”
(Surah Al-Ahzab 33:33)
Fatawa Deoband","Fatawa Razawiyya
शर्त: हिजाब, अलग व्यवस्था"
47,Women’s Religious Participation,Can women attend Milad gatherings where men are present (even with segregation)?,Advice to avoid mixed gathering,Permission if there is a separate arrangement with the veil,"Hadith: “महिलाओं की सबसे अच्छी नमाज़ घर में है”
(Abu Dawood 570)
Fatawa Mahmoodiyya","Same Hadith (interpretation differs)
Fatawa Razawiyya"
48,Women’s Religious Participation,Is women’s presence at Urs festivals at shrines allowed?,Disapproved / forbidden participation of women in Urs,"Permission with conditions (veil, modesty)","Hadith: “कब्रों पर जाने वाली महिलाओं पर लानत”
(Tirmidhi 1056)
Fatawa Deoband","Hadith: Grave زيارة allowed later (Muslim 977)
Fatawa Razawiyya"
49,Women’s Religious Participation,Can women travel to dargahs for ziyarat without a mahram in today's world?,Traveling without a mahram is forbidden,There is some leniency in the situation of safety and need,"Hadith: “कोई औरत बिना महरम के सफर न करे”
(Sahih Bukhari 3006, Muslim 1341)
Fatawa Deoband","Classical juristic discussions
Fatawa Razawiyya"
50,Women’s Religious Participation,Is it permissible for women to recite Na‘at publicly in front of a mixed audience?,It is not appropriate to raise one's voice in front of non-mahram men,"If there is no slouching/softness in the voice, some scholars have granted permission","Qur’an: “बात में नर्मी न लाओ…”
(Surah Al-Ahzab 33:32)
Fatawa Deoband",Fatawa Razawiyya
51,Women’s Religious Participation,"Can women join in loud, collective Salat-o-Salam in mosques?",Such participation of women in the mosque is not appropriate,Permission to be in a separate place with a curtain,"Hadith: Women prayer at home better (Abu Dawood 570)
Fatawa Mahmoodiyya","Qur’an: 33:56 (Darood)
Fatawa Razawiyya"
52,Women’s Religious Participation,Is it better for women to pray at home or attend the mosque for daily prayers?,Praying at home is better (Afzal),"Home is better, but going to the mosque is also permissible","Hadith: (Abu Dawood 570)
Fatawa Deoband","Hadith: “अल्लाह की बंदियों को मस्जिद जाने से न रोको”
(Sahih Muslim 442)
Fatawa Razawiyya"
53,Women’s Religious Participation,Is it permissible for women to take bay‘ah (spiritual pledge) in public gatherings?,Advice to refrain from Bait in public,Bait is permissible within Sharia limits,Fatawa Deoband,"Qur’an: Surah Al-Mumtahanah 60:12
Fatawa Razawiyya"
54,Women’s Religious Participation,Can women lead and organize their own Milad gatherings (for women only)?,They do not consider such events necessary,Separate Milad events for women are permissible,Fatawa Deoband,Fatawa Razawiyya
55,Women’s Religious Participation,Is it okay to celebrate Mawlid at home if non-mahram relatives are present?,Gathering together with non-mahram is not appropriate,Permission if there is an arrangement of a veil,"Qur’an: 24:30–31 (पर्दा)
Fatawa Deoband",Fatawa Razawiyya
56,Women’s Religious Participation,Is it permissible to broadcast women’s religious speeches (voice only)?,Dislike the public broadcast of women's voices,"If there is no fitnah, then some permission","Qur’an: 33:32
Fatawa Deoband",Fatawa Razawiyya
57,Women’s Religious Participation,Can women participate in shrine rituals like the chadar ceremony?,Women's participation is not appropriate,Permission with the veil,Fatawa Deoband,"Bahaar-e-Shariat
Fatawa Razawiyya"
58,Women’s Religious Participation,Can women engage in public fundraising for events like Urs or Milad?:,Advice to avoid public participation,Permission within the limits of Sharia,Fatawa Deoband,Fatawa Razawiyya
59,Women’s Religious Participation,Is it permissible for women to visit graves frequently?,Repeatedly visiting graves is disliked,Allowed with conditions,"Tirmidhi 1056
Fatawa Deoband","Muslim 977
Fatawa Razawiyya"
60,Women’s Religious Participation,Is women’s participation in large public Islamic conferences acceptable?,Participation in large public programs is limited,Permission if there is a curtain and an arrangement,Fatawa Deoband,Fatawa Razawiyya
61,"Fiqh, Society & Gender Issues",What is the ruling on Raf‘ al-Yadayn (raising hands) during Salah?,Raising hands only in Takbeer-e-Tahreema (the beginning),Raising hands upon going into Ruku' and standing up as well,"Hadith: Ibn Mas‘ud narration
(Sunan Abu Dawood 748)
Fatawa Deoband","Hadith: Ibn Umar
(Sahih Bukhari 735)
Fatawa Razawiyya"
62,"Fiqh, Society & Gender Issues",Is reciting behind the Imam in silent prayers (Sirri) required?,A follower (Muqtadi) should not recite from behind; in silent prayers,it is better to recite during silent prayers,"Hadith: “जिसका इमाम हो, उसकी क़िरात इमाम की क़िरात है”
(Ibn Majah 850)
Fatawa Deoband","Hadith: “जो फातिहा नहीं पढ़ता उसकी नमाज़ नहीं”
(Sahih Bukhari 756)
Fatawa Razawiyya"
63,"Fiqh, Society & Gender Issues",Does triple Talaq in one sitting count as one or three?,Three Talaaq = Three Talaaq (final),Three Talaaq = Only three will be considered,"Hadith: (Sahih Muslim 1472)
Fatawa Deoband","Same Hadith
Fatawa Razawiyya"
64,"Fiqh, Society & Gender Issues",Is voting in democratic elections religiously permissible?,Permissible according to the circumstances (under Maslaha),Voting for the benefit of Muslims is permissible,"Contemporary Deobandi fatwas
Fatawa Darul Uloom Deoband","Modern Barelvi scholars
Fatawa Razawiyya (modern compilations)"
65,"Fiqh, Society & Gender Issues",Is celebrating Independence Day or institutional anniversaries (like Deoband) allowed?,Permission if it is not made religious,It is permissible to celebrate it as a social/national form,Fatawa Deoband,"Contemporary fatwas
Fatawa Razawiyya"
66,"Fiqh, Society & Gender Issues",Is photography and videography for religious purposes permissible?,Instruction to avoid images of living beings (but some concession in modern necessity),Permission under necessity,"Hadith: Image prohibition (Bukhari 5950)
Fatawa Deoband","Contemporary scholars
Fatawa Razawiyya"
67,"Fiqh, Society & Gender Issues",What is the ruling on using loudspeakers for non-obligatory religious activities?,"Limited use, should not cause harm to others",Use is permissible for religious propagation,"Principle: No harm (Hadith: Ibn Majah 2340)
Fatawa Deoband",Fatawa Razawiyya
68,"Fiqh, Society & Gender Issues",Is taking a formal bay‘ah to a living Sufi shaykh necessary for every Muslim?,"Bai'at is not necessary, but it can be beneficial",They consider Bai'at important for spiritual progress,Fatawa Deoband,"Qur’an: 48:10 (Bay‘ah)
Fatawa Razawiyya"
69,"Fiqh, Society & Gender Issues",Should transgender individuals be allowed to participate in shrine gatherings?,Limited participation within the scope of Sharia,Permission with social inclusion,"Classical fiqh (khuntha discussion)
Fatawa Deoband","Contemporary scholars
Fatawa Razawiyya (modern)"
70,"Fiqh, Society & Gender Issues",How should mosques accommodate third-gender worshippers in prayer rows?,Place according to a separate system or situation,Respectful and separate system,"Classical fiqh
Fatawa Deoband","Contemporary fatwas
Fatawa Razawiyya"
71,"Fiqh, Society & Gender Issues",Is public religious outreach specifically for the transgender community allowed?,"Dawat (religious outreach) is valid, but within the boundaries of Sharia",They encourage outreach,"Qur’an: 16:125
Fatawa Deoband","Same Qur’an verse
Fatawa Razawiyya"
72,"Fiqh, Society & Gender Issues",Should Islamic seminaries (Madrasas) admit openly third-gender students?,It can be considered with a separate system,Permission under the right to education,"Contemporary fiqh
Fatawa Deoband","Contemporary scholars
Fatawa Razawiyya"
73,Beliefs & the Status of Prophets and Saints,How do fundamentally differ in describing the nature of the existence of Prophet Muhammad?,They primarily see them as humans.,They consider them a created part of the Noor (Divine Light) without a shadow.,,Surah Al-Kahf 18:111
74,Beliefs & the Status of Prophets and Saints,What is the opposing view regarding the Prophet's Ilm-e-Ghaib (knowledge of the unseen)?,Muslims reject this complete attribute.,"Barelvis believe that the Prophet had complete knowledge of Ilm-e-Ghaib,",Surah Al-A'raf 7:189,
75,Seeking Help and Intercession,What is the difference between the two ideologies regarding asking for help from Awliya (saints) or visiting a shrine?,Muslims are strongly opposed to such acts of veneration (Shraddha).,"Barelvi consider asking for help from and visiting the shrine of a Barelvi Awliya as common and permissible,",,
76,Mawlid & Devotional Gatherings,Which of the following facts is true regarding celebrating Maulid (the Prophet's birthday)?,The Muslim generally consider it a bid'ah (innovation) which should be avoided.,"The Barelvies celebrate the Maulid as a general practice,",,
77,"Graves, Shrines & Urs",Which fact is correct regarding the practice of prostration on graves in Islam?,They strongly oppose actions such as prostration at Dargahs.,"They consider prostration on graves to be permissible,",,
78,Beliefs & the Status of Prophets and Saints,What is the difference in the concept of the Prophet's presence (Hazar-o-Nazar) between the two ideologies?,Muslims generally reject this specific form of universality.,"Barelvis believe that the Prophets are present (Hazar-o-Nazar) spiritually,",,
79,"Graves, Shrines & Urs","Among the following points, which one is appropriate according to Islamic creed regarding the sanctity of Sufi orders and shrines?",Muslims accept  Sufism but reject the worship of shrines (Tawzi).,"They are known for deep respect towards Awliya and shrines along with Barelvi Sufi orders,",,
80,Seeking Help and Intercession,How are the two maslakas different regarding the classification of seeking help from an Awliya as a religious issue?,Muslims consider this often as a compromise with Tawhid (the oneness of Allah) and up to the limit of Shirk.,"Muslims see this as valid intercession from an Awliya,",,
