ID,Section,Question,Deobandi View,Barelwi View,Deobandi References & Links,Barelwi References & Links
12,Seeking Help and Intercession,संतों की सहायता के लिए बुलाना अनुमति है या नहीं?,औलिया को पुकारना (direct calling) उचित नहीं है,औलिया को वसीले (मध्यस्थ) के रूप में पुकारना जायज़ है,"“और मस्जिदें अल्लाह के लिए हैं, तो अल्लाह के साथ किसी को न पुकारो”
(Surah Al-Jinn 72:18)
 https://quran.com/72/18
Fatawa Rashidiyya – Rashid Ahmad Gangohi
 https://archive.org/details/FatawaRashidiyya","“ऐ ईमान वालों! अल्लाह से डरो और उसकी ओर वसीला तलाश करो”
(Surah Al-Ma’idah 5:35)
 https://quran.com/5/35
Hadith of the Blind Man (Tawassul):
(Jami‘ al-Tirmidhi 3578)
 https://sunnah.com/tirmidhi:3578
(इसमें नबी के वसीले से दुआ करने का तरीका सिखाया गया)"
13,Seeking Help and Intercession,इबादत या मदद की इच्छा के साथ 'या रसूल अल्लाह' कहने पर क्या फतवा है?,“या रसूल अल्लाह” कहना अगर मदद के लिए हो तो उचित नहीं है,“या रसूल अल्लाह” कहना इस्तिगासा (मदद मांगने) के रूप में भी जायज़ है,"Qur’an: Surah Al-Fatiha 1:5
Fatawa Deoband","Hadith: Ibn Umar calling “Ya Muhammadah” (reported in Adab al-Mufrad)
Fatawa Razawiyya, Vol. 15"
14,Seeking Help and Intercession,क्या “या ग़ौस-ए-आज़म” (अब्दुल क़ादिर जीलानी) कहकर मदद के लिए पुकारना जायज़ है?,किसी संत को पुकारना उचित नहीं,"“Ya Ghaus-e-Azam” कहना जायज़, अगर उसे वसीला माना जाए","Qur’an: Surah Fatir 35:14
Fatawa Rashidiyya","Sufi tradition texts
Bahaar-e-Shariat
Fatawa Razawiyya"
15,Seeking Help and Intercession,क्या अल्लाह तक पहुँचने के लिए मौत को माध्यम बनाकर तवास्ल (संतों के जरिए) करना अनुमत है?,Tawassul सिर्फ जीवित व्यक्ति या अच्छे कर्मों से किया जा सकता है,Awliya (जीवित या मृत) के माध्यम से Tawassul जायज़,"Hadith: Three men in cave (Sahih Bukhari 2272)
Fatawa Deoband","Hadith: Blind man (Tirmidhi 3578)
Qur’an: Surah Al-Ma’idah 5:35
Fatawa Razawiyya, Vol. 12"
16,Mawlid & Devotional Gatherings,मौलिद (मिलाद-उन-नबी) मनाना एक पुरस्कारप्राप्त कार्य है या एक नवाचार?,Mawlid को Bid‘ah (innovation) माना जाता है,Mawlid को Mustahabb (सवाब का काम) माना जाता है,"Hadith: “जो हमारे दीन में नई चीज़ निकाले…”
(Sahih Bukhari 2697, Sahih Muslim 1718)
Fatawa Deoband, Vol. 1
Imdad al-Fatawa – Ashraf Ali Thanvi","Qur’an: “अल्लाह के फ़ज़्ल और रहमत पर खुश हो”
(Surah Yunus 10:58)
Hadith: Prophet fasted on Monday (Muslim 1162 – birth day reference)
Fatawa Razawiyya, Vol. 23"
17,Mawlid & Devotional Gatherings,क्या मावलिद या सलाम के दौरान खड़े होना (क़ियाम) वैध है?,Qiyam को अनावश्यक और Bid‘ah माना जाता है,Qiyam को इज़्ज़त और अदब का प्रतीक मानते हैं,"Fatawa Mahmoodiyya, Vol. 5
Bid‘ah related hadith (Muslim 1718)","Hadith: Standing for respect (Abu Dawood 5215)
Fatawa Razawiyya, Vol. 23"
18,Mawlid & Devotional Gatherings,क्या यह मानना वैध है कि रसूल (सल्लल्लाहु अलैहि वसल्लम) वास्तव में मिलाद समारोह में उपस्थित होते हैं?,यह मान्यता सही नहीं है,Prophet रूहानी तौर पर उपस्थित हो सकते हैं,"Qur’an: Surah Az-Zumar 39:30
Fatawa Deoband","Hadith: Salam presented (Abu Dawood 2041)
Fatawa Razawiyya"
19,Mawlid & Devotional Gatherings,सार्वजनिक सड़कों में मिलाद प्रस्तुतियाँ आयोजित करना क्या अनुमति है?,सार्वजनिक जुलूस को Bid‘ah और फितना का कारण माना जाता है,Milad जुलूस जायज़ और सवाब का कार्य,"Fatawa Deoband
Principle: Avoid innovation","Qur’an: 10:58 (खुशी मनाना)
Fatawa Razawiyya"
20,Mawlid & Devotional Gatherings,जुमा के नमाज के बाद समूह में सलातुस्सलाम उच्च स्वर में पाठ करना अनुमोदित है या नहीं?,नियमित रूप से loud collective recitation को Bid‘ah माना जाता है,यह जायज़ और पसंदीदा अमल,Fatawa Mahmoodiyya,"Qur’an: “नबी पर दरूद भेजो”
(Surah Al-Ahzab 33:56)
Fatawa Razawiyya"
21,Mawlid & Devotional Gatherings,सार्वजनिक रूप से खड़े होकर ना‘त का पाठ करना अनिवार्य है या अनुशंसित?,खड़े होकर नात पढ़ना आवश्यक नहीं,,Fatawa Deoband,Fatawa Razawiyya
22,Mawlid & Devotional Gatherings,पैगंबर को असाधारण गुण दर्शाने वाले धार्मिक काव्य लिखना और पढ़ना अनुमति है?,अतिशयोक्ति (exaggeration) से बचना चाहिए,नात में उच्च गुणों का वर्णन जायज़,"Hadith: “मेरी तारीफ़ में हद से न बढ़ो…”
(Sahih Bukhari 3445)
Fatawa Deoband","Imam Busiri, Qaseeda Burda
Fatawa Razawiyya"
23,Mawlid & Devotional Gatherings,धार्मिक सभाओं में (जैसे दफ) वाद्ययंत्रों का उपयोग करना अनुमोदित है?,संगीत वाद्य यंत्र सामान्यतः नाजायज़ है,कुछ स्थितियों में दफ़ (daf) की अनुमति है,"Sahih Bukhari (Hadith on musical instruments – 5590)
Fatawa Deoband","Hadith: Daf allowed in Eid/weddings (Abu Dawood 4924)
Fatawa Razawiyya"
24,Mawlid & Devotional Gatherings,धार्मिक पर्वों के लिए मस्जिदों को रोशनी से सजाना धार्मिक रूप से अनुमति है?,मस्जिदों को सजाना (लाइट्स आदि) अनुचित / Bid‘ah,धार्मिक खुशी में सजावट जायज़,"Fatawa Deoband
Principle: Simplicity of mosques","Qur’an: 10:58
Fatawa Razawiyya"
25,"Graves, Shrines & Urs",संतों के दफ़न स्थलों को आना और आशीर्वाद (तबर्रूक) पाने के लिए विशेष रूप से शुद्ध क्या है?,बरकत लेने की नीयत से जाना उचित नहीं,Awliya की कब्र से बरकत लेना (Tabarruk) जायज़,"Hadith: “मैंने तुम्हें कब्रों की ज़ियारत से रोका था, अब ज़ियारत करो…”
(Sahih Muslim 977)
Fatawa Deoband, Vol. 2","Qur’an: Surah Yusuf 12:93 (याक़ूब को क़मीज़ से बरकत)
Fatawa Razawiyya, Vol. 9"
26,"Graves, Shrines & Urs",क्या लंबी दूरी तय करके विशेष रूप से किसी संत की कब्र को देखने जाने की सिफारिश की जाती है?,विशेष रूप से कब्र के लिए सफर करना सही नहीं,Awliya की ज़ियारत के लिए सफर जायज़,"Hadith: “तीन मस्जिदों के अलावा कहीं सफर न करो…”
(Sahih Bukhari 1189, Muslim 1397)
Fatawa Mahmoodiyya","Practice of early Sufis
Fatawa Razawiyya"
27,"Graves, Shrines & Urs","क्या स्थायी, सीमेंट से बनी कब्र (पक्की क़ब्र) बनाना या उसे सजाना अनुमति है?",पक्की कब्र बनाना और सजाना नाजायज़ / मकरूह है,Awliya की कब्र को पक्का करना जायज़ है,"Hadith: “नबी ﷺ ने कब्रों को पक्का करने से मना किया”
(Sahih Muslim 970)
Fatawa Deoband","Fatawa Razawiyya, Vol. 9
Sufi practices"
28,"Graves, Shrines & Urs",कब्र पर गुंबद या बड़ी संरचना बनाना क्या अनुमति है?,गुम्बद बनाना सही नहीं है,Awliya की कब्र पर गुम्बद बनाना जायज़ है,"Hadith: Muslim 970
Fatawa Deoband","Historical Islamic architecture
Fatawa Razawiyya"
29,"Graves, Shrines & Urs",क्या मस्जिद को अस्थायी रूप से कब्र के ठीक बगल में या उस पर बनाना वैध है?,कब्र के पास मस्जिद बनाना मना है,"अगर इबादत का मकसद कब्र नहीं है, तो अनुमति है","Hadith: “यहूद और नसारा पर लानत… उन्होंने अपने नबियों की कब्रों को मस्जिद बना लिया”
(Sahih Bukhari 435, Muslim 531)
Fatawa Deoband","Interpretation of hadith
Fatawa Razawiyya"
30,"Graves, Shrines & Urs",कब्र पर चादर (कपड़ा ढालने) रखना अनुमत है या नहीं?,चादर चढ़ाना बिदअत है,चादर चढ़ाना अदब और ताज़ीम,Fatawa Deoband,"Bahaar-e-Shariat
Fatawa Razawiyya"
31,"Graves, Shrines & Urs",कब्र पर चूमना या छूना और आशीर्वाद प्राप्त करने के लिए क्या अनुमति है?,कब्र को छूना/चूमना मना है,बरकत के लिए छूना/चूमना जायज़ है,Fatawa Mahmoodiyya,"Analogy with Hajr-e-Aswad
Fatawa Razawiyya"
32,"Graves, Shrines & Urs",क्या अस्थायी रूप से अपने शरीर को जमीन पर टेकना ठीक है यदि इसका इरादा इबादत नहीं है?,कब्र के पास सज्दा हर हाल में नाजायज़ है,"सज्दा सिर्फ अल्लाह के लिए, कब्र पर सज्दा नाजायज़ है","Qur’an: Surah Al-Jinn 72:18
Fatawa Deoband","Consensus (Ijma‘)
Fatawa Razawiyya"
33,"Graves, Shrines & Urs",कब्रों पर दीये या मोमबत्तियाँ जलाना की अनुमति है?,कब्रों पर दीये जलाना नाजायज़ है,कुछ स्थितियों में अनुमति है,"Hadith: “कब्रों पर चिराग जलाने वालों पर लानत”
(Tirmidhi 320)
Fatawa Deoband","Fatawa Razawiyya
Cultural practices"
34,"Graves, Shrines & Urs",क्या धार्मिक स्थलों पर धागे बांधना या वचन देना (मन्नत) वैध है?,"धागा बाँधना, मन्नत करना नाजायज़ / शिर्क का खतरा है","मन्नत अल्लाह के लिए, लेकिन Awliya के वसीले से","Qur’an: Surah Al-Insan 76:7 (vows to Allah)
Fatawa Deoband",Fatawa Razawiyya
35,"Graves, Shrines & Urs",श्रीक्षेत्रों में उर्स (मृत्यु वार्षिकी) मनाने पर क्या फतवा है?,Urs को Bid‘ah माना जाता है,Urs को सवाब और यादगार माना जाता है,"Hadith: Bid‘ah (Muslim 1718)
Fatawa Deoband","Sufi tradition
Bahaar-e-Shariat
Fatawa Razawiyya"
36,Ritual Practices & Acts of Worship,"क्या मृतक के निमित्त विशिष्ट दिनों (तीसरे, दसवें, चौबीसवें) पर भोजन वितरण करना वैध है?","3rd, 10th, 40th दिन को विशेष रूप से खाना बांटना Bid‘ah है",अगर इसे इसाल-ए-सवाब (reward transfer) के लिए किया जाए तो जायज़ है,"Hadith: “जो हमारे दीन में नई चीज़ निकाले…”
(Sahih Bukhari 2697, Muslim 1718)
Fatawa Deoband, Vol. 1","Hadith: Sadqa benefits deceased (Sahih Bukhari 1388)
Fatawa Razawiyya, Vol. 9"
37,Ritual Practices & Acts of Worship,क्या गियरवी शरीफ का अभ्यास किया जा सकता है?,ग्यारहवीं शरीफ को विशेष रूप देना Bid‘ah है,ग्यारहवीं शरीफ (Abdul Qadir Gilani की याद में) जायज़ है,"Fatawa Mahmoodiyya
Bid‘ah hadith (Muslim 1718)","Bahaar-e-Shariat
Fatawa Razawiyya"
38,Ritual Practices & Acts of Worship,संतों के नाम में नियाज़ (निवेदन) करना मान्य है या नहीं?,संतों के नाम पर नियाज़ करना उचित नहीं है,"नियाज़ अल्लाह के लिए, लेकिन Awliya के नाम से इसाल-ए-सवाब है","Qur’an: “नमाज़ और क़ुर्बानी केवल अल्लाह के लिए”
(Surah Al-An‘am 6:162)
Fatawa Deoband","Hadith: Charity for deceased (Bukhari 1388)
Fatawa Razawiyya"
39,Ritual Practices & Acts of Worship,"क्या असली, जोरदार दुआ असली दैनिक पांच नमाज़ के बाद अनुमोदित है?",हर नमाज़ के बाद सामूहिक loud दुआ को नियमित बनाना Bid‘ah है,सामूहिक दुआ करना जायज़ और पसंदीदा है,Fatawa Mahmoodiyya,"Qur’an: “मुझसे दुआ करो, मैं स्वीकार करूँगा”
(Surah Ghafir 40:60)
Fatawa Razawiyya"
40,Ritual Practices & Acts of Worship,रमज़ान में इफ्तार करने से पहले एक संगठित सामूहिक दुआ करना अनुमति है या नहीं?,व्यक्तिगत दुआ करना सुन्नत है,सामूहिक दुआ भी जायज़ है,"Hadith: Dua at iftar accepted (Tirmidhi 2526)
Fatawa Deoband","Same Hadith (Tirmidhi)
Fatawa Razawiyya"
41,Ritual Practices & Acts of Worship,क्या भीड़ में उच्च स्वर में दीक़र करना या दीक़र के वृत्त बनाना अनुमोदित है?,"loud Dhikr को सीमित रूप में अनुमति, लेकिन प्रचलित रूप में नापसंद",loud Dhikr और महफ़िल-ए-जिक्र जायज़,"Hadith: Silent dhikr preferred (Bukhari 6408)
Fatawa Deoband","Hadith: جماعة में zikr (Muslim 2700)
Fatawa Razawiyya"
42,Ritual Practices & Acts of Worship,क्या अनिवार्य प्रार्थना के बाद हर बार उच्च स्वर में दीक़र अनुष्ठान करना अनुमति है?,हर नमाज़ के बाद loud collective dhikr को नियमित बनाना Bid‘ah,loud dhikr जायज़,Fatawa Mahmoodiyya,"Hadith: Sahaba raised voices in dhikr (Bukhari 841)
Fatawa Razawiyya"
43,Ritual Practices & Acts of Worship,क़ुरआन की आख़िरी वह्य (Khatm-e-Bukhari) का अनुष्ठान धार्मिक रूप से मान्य अभ्यास है या नहीं?,"इसे धार्मिक अनिवार्यता नहीं, लेकिन इल्मी परंपरा के रूप में स्वीकार",इसे भी जायज़ मानते हैं,"Madrasah tradition
Fatawa Deoband",Fatawa Razawiyya
44,Ritual Practices & Acts of Worship,क्या सामूहिक रूप से दलाइल-ए-खैरात या क़सीदा बुरदा का ज़माना इकट्ठा किया जाना अनुमति है?,नियमित collective recitation को Bid‘ah मानते हैं,"यह इश्क-ए-रसूल ﷺ का इज़हार है, जायज़",Fatawa Deoband,"Dalail al-Khayrat – Imam al-Jazuli
Qaseeda Burda – Imam Busiri
Fatawa Razawiyya"
45,Ritual Practices & Acts of Worship,क्या विशिष्ट इस्लामिक तिथियों को विशेष अनुष्ठानों (जो सुन्नत में नहीं मिलते) के साथ मनाना अनुमोदनीय है?,विशेष तारीख़ों को धार्मिक रस्मों के साथ मनाना Bid‘ah,अगर शरई हदों में हो तो जायज़,"Hadith: Bid‘ah (Muslim 1718)
Fatawa Deoband","Qur’an: 10:58
Fatawa Razawiyya"
46,Women’s Religious Participation,क्या महिलाओं को सार्वजनिक मिलाद शोरूम में भाग लेने की अनुमति है?,महिलाओं का सार्वजनिक जुलूसों में भाग लेना उचित नहीं (फितना का डर),पर्दे और शरई शर्तों के साथ सीमित अनुमति,"Qur’an: “और अपने घरों में ठहरी रहो…”
(Surah Al-Ahzab 33:33)
Fatawa Deoband","Fatawa Razawiyya
शर्त: हिजाब, अलग व्यवस्था"
47,Women’s Religious Participation,क्या महिलाएं पुरुषों के उपस्थिति वाले मिलाद अस्थानों में भाग ले सकती हैं (भले ही अलगाव हो)?,मिक्स्ड गैदरिंग से बचने की हिदायत,पर्दे के साथ अलग व्यवस्था हो तो अनुमति,"Hadith: “महिलाओं की सबसे अच्छी नमाज़ घर में है”
(Abu Dawood 570)
Fatawa Mahmoodiyya","Same Hadith (interpretation differs)
Fatawa Razawiyya"
48,Women’s Religious Participation,क्या और्स मेले में मंदिरों में महिलाओं की उपस्थिति की अनुमति है?,उर्स में महिलाओं की भागीदारी नापसंद / मना,"शर्तों (पर्दा, हय़ा) के साथ अनुमति","Hadith: “कब्रों पर जाने वाली महिलाओं पर लानत”
(Tirmidhi 1056)
Fatawa Deoband","Hadith: Grave زيارة allowed later (Muslim 977)
Fatawa Razawiyya"
49,Women’s Religious Participation,आज के दौर में क्या महरम के बिना महिलाएं दरगाहों पर ज़ियारत करने के लिए यात्रा कर सकती हैं?,बिना महरम सफर करना नाजायज़,सुरक्षा और जरूरत की स्थिति में कुछ नरमी,"Hadith: “कोई औरत बिना महरम के सफर न करे”
(Sahih Bukhari 3006, Muslim 1341)
Fatawa Deoband","Classical juristic discussions
Fatawa Razawiyya"
50,Women’s Religious Participation,क्या महिलाओं को मिश्रित दर्शकों के साम्हने सार्वजनिक रूप से नाअत पढ़ने की अनुमति है?,गैर-महरम के सामने आवाज़ उठाना उचित नहीं,अगर आवाज़ में लचक/फितना न हो तो कुछ विद्वानों ने अनुमति दी,"Qur’an: “बात में नर्मी न लाओ…”
(Surah Al-Ahzab 33:32)
Fatawa Deoband",Fatawa Razawiyya
51,Women’s Religious Participation,क्या महिलाएं मस्जिदों में उच्च स्वर में और साथ मिलकर सलात-ओ-सलाम कर सकती हैं?,मस्जिद में महिलाओं की इस तरह की भागीदारी उचित नहीं,पर्दे के साथ अलग स्थान पर अनुमति,"Hadith: Women prayer at home better (Abu Dawood 570)
Fatawa Mahmoodiyya","Qur’an: 33:56 (Darood)
Fatawa Razawiyya"
52,Women’s Religious Participation,क्या महिलाओं के लिए दैनिक नमाज के लिए घर पर नमाज करना बेहतर है या मस्जिद में जाना?,घर में नमाज़ पढ़ना बेहतर (अफज़ल),"घर बेहतर, लेकिन मस्जिद जाना भी जायज़","Hadith: (Abu Dawood 570)
Fatawa Deoband","Hadith: “अल्लाह की बंदियों को मस्जिद जाने से न रोको”
(Sahih Muslim 442)
Fatawa Razawiyya"
53,Women’s Religious Participation,क्या महिलाओं को सार्वजनिक बैठकों में बै‘अ (spiritual pledge) लेने की अनुमति है?,सार्वजनिक रूप से बैअत से बचने की सलाह,शरई हदों में बैअत जायज़,Fatawa Deoband,"Qur’an: Surah Al-Mumtahanah 60:12
Fatawa Razawiyya"
54,Women’s Religious Participation,क्या महिलाएं अपने खुद के मिलाद समाहार (केवल महिलाओं के लिए) का नेतृत्व और आयोजन कर सकती हैं?,इस तरह के आयोजन को आवश्यक नहीं मानते,महिलाओं के लिए अलग मिलाद आयोजन जायज़,Fatawa Deoband,Fatawa Razawiyya
55,Women’s Religious Participation,क्या घर में मौलिद मनाना ठीक है अगर गैर-महरम रिश्तेदार भी वहां मौजूद हों?,गैर-महरम के साथ मिलकर आयोजन उचित नहीं,पर्दे की व्यवस्था हो तो अनुमति,"Qur’an: 24:30–31 (पर्दा)
Fatawa Deoband",Fatawa Razawiyya
56,Women’s Religious Participation,महिलाओं के धार्मिक भाषणों (केवल आवाज) का प्रसारण करना अनुमति है या नहीं?,महिलाओं की आवाज़ का सार्वजनिक प्रसारण नापसंद,अगर फितना न हो तो कुछ अनुमति,"Qur’an: 33:32
Fatawa Deoband",Fatawa Razawiyya
57,Women’s Religious Participation,क्या महिलाएं चादर समारोह जैसे मंदिर की रीतियों में भाग ले सकती हैं?,महिलाओं की भागीदारी उचित नहीं,पर्दे के साथ अनुमति,Fatawa Deoband,"Bahaar-e-Shariat
Fatawa Razawiyya"
58,Women’s Religious Participation,क्या महिलाएं उर्स या मिलाद जैसे कार्यक्रमों के लिए सार्वजनिक रूप से फंड रिसेट कर सकती हैं?,सार्वजनिक भागीदारी से बचने की सलाह,शरई हदों में अनुमति,Fatawa Deoband,Fatawa Razawiyya
59,Women’s Religious Participation,क्या महिलाओं को अक्सर कब्रों का दौरा करने की अनुमति है?,बार-बार कब्र जाना नापसंद,शर्तों के साथ अनुमति,"Tirmidhi 1056
Fatawa Deoband","Muslim 977
Fatawa Razawiyya"
60,Women’s Religious Participation,क्या महिलाओं की बड़े सार्वजनिक इस्लामी सम्मेलनों में भाग लेना स्वीकार्य है?,बड़े सार्वजनिक कार्यक्रमों में भागीदारी सीमित,पर्दा और व्यवस्था हो तो अनुमति,Fatawa Deoband,Fatawa Razawiyya
61,"Fiqh, Society & Gender Issues",नमाज में रफ़ अल-यादान (हाथ उठाने) पर क्या फतवा है?,सिर्फ तकबीर-ए-तहरीमा (शुरुआत) में हाथ उठाना,रुकू में जाने और उठने पर भी हाथ उठाना,"Hadith: Ibn Mas‘ud narration
(Sunan Abu Dawood 748)
Fatawa Deoband","Hadith: Ibn Umar
(Sahih Bukhari 735)
Fatawa Razawiyya"
62,"Fiqh, Society & Gender Issues",क्या अज़ान के बाद इमाम के पीछे तालीम बिना नमाज़ (सिर्री) में अज़ान पढ़ना अनिवार्य है?,मुक़्तदी को पीछे से नहीं पढ़ना चाहिए,सुर्री नमाज़ में पढ़ना बेहतर,"Hadith: “जिसका इमाम हो, उसकी क़िरात इमाम की क़िरात है”
(Ibn Majah 850)
Fatawa Deoband","Hadith: “जो फातिहा नहीं पढ़ता उसकी नमाज़ नहीं”
(Sahih Bukhari 756)
Fatawa Razawiyya"
63,"Fiqh, Society & Gender Issues",क्या एक साथ तीन बार तलाक एक या तीन गिनती में आता है?,तीन तलाक = तीन तलाक (final),तीन तलाक = तीन ही मानी जाएँगी,"Hadith: (Sahih Muslim 1472)
Fatawa Deoband","Same Hadith
Fatawa Razawiyya"
64,"Fiqh, Society & Gender Issues",क्या लोकतांत्रिक चुनावों में मतदान धार्मिक रूप से अनुमोदनीय है?,परिस्थितियों के अनुसार जायज़ (मसलहत के तहत),मुस्लिम हित के लिए वोट देना जायज़,"Contemporary Deobandi fatwas
Fatawa Darul Uloom Deoband","Modern Barelvi scholars
Fatawa Razawiyya (modern compilations)"
65,"Fiqh, Society & Gender Issues",स्वतंत्रता दिवस या संस्थागत जयंती (जैसे देवबंद) मनाने की अनुमति है?,अगर धार्मिक न बनाया जाए तो अनुमति,सामाजिक/राष्ट्रीय रूप में मनाना जायज़,Fatawa Deoband,"Contemporary fatwas
Fatawa Razawiyya"
66,"Fiqh, Society & Gender Issues",धार्मिक उद्देश्यों के लिए फोटोग्राफी और वीडियोग्राफी की अनुमति है या नहीं?,जीवित प्राणियों की तस्वीरों से बचने की हिदायत (लेकिन आधुनिक जरूरत में कुछ छूट),जरूरत के तहत अनुमति,"Hadith: Image prohibition (Bukhari 5950)
Fatawa Deoband","Contemporary scholars
Fatawa Razawiyya"
